id,descripcion,categoria,talle,cantidad,precio
145,Jean Mom,Pantalones,XS,56,28117.66
146,Remera Básica,Remeras,XXXL,76,12411.93
147,Pantalón Cargo,Pantalones,XXXL,169,23737.01
148,Campera Jean,Camperas,XXL,187,41096.33
149,Jean Skinny,Pantalones,XL,81,14829.56
150,Short Deportivo,Pantalones,XS,124,19369.53
151,Pantalón Cargo,Pantalones,XXL,82,24694.45
152,Zapatillas Urbanas,Calzado,XS,171,76170.61
153,Gorra,Accesorios,XL,112,5110.5
154,Sandalias,Calzado,M,188,59627.7
155,Musculosa,Remeras,XXXL,93,6119.76
156,Remera Oversize,Remeras,XXXL,32,7763.87
157,Ojotas,Calzado,S,57,34728.86
158,Musculosa,Remeras,XXL,108,12304.81
159,Cardigan Tejido,Buzos,XXXL,165,26665.73
160,Musculosa,Remeras,XL,134,13197.93
161,Campera de Cuero,Camperas,M,135,36448.38
162,Sweater de Lana,Buzos,XL,112,29704.48
163,Rompeviento,Camperas,XL,120,26563.12
164,Remera Estampada,Remeras,S,142,14401.23
165,Gafas de Sol,Accesorios,XL,141,5699.84
166,Cardigan Tejido,Buzos,L,58,24546.83
167,Campera Inflable,Camperas,XS,19,65763.19
168,Campera Inflable,Camperas,XXXL,8,35426.49
169,Remera Oversize,Remeras,L,157,14987.42
170,Campera de Cuero,Camperas,XXL,85,34296.19
171,Puffer,Camperas,XXL,196,55131.4
172,Cardigan Tejido,Buzos,M,13,16278.9
173,Zapatillas Urbanas,Calzado,S,173,52639.71
174,Remera Estampada,Remeras,XL,96,8974.8
175,Gafas de Sol,Accesorios,S,141,4775.8
176,Buzo Frisa,Buzos,XXXL,176,33303.14
177,Campera de Cuero,Camperas,XS,46,58894.5
178,Buzo Canguro,Buzos,XXL,14,19526.6
179,Remera Estampada,Remeras,XXL,52,14753.15
180,Jean Skinny,Pantalones,XXXL,32,15783.93
181,Musculosa,Remeras,M,77,11697.5
182,Gorra,Accesorios,XXXL,30,8821.8
183,Gorra,Accesorios,XL,63,9538.46
184,Puffer,Camperas,XXXL,126,42703.9
185,Gorra,Accesorios,M,28,10049.86
186,Sweater de Lana,Buzos,XXXL,103,18071.36
187,Musculosa,Remeras,L,121,10527.76
188,Jean Skinny,Pantalones,L,164,13482.72
189,Gorra,Accesorios,M,158,12578.33
190,Sandalias,Calzado,XXL,98,75792.4
191,Remera Básica,Remeras,L,158,12081.87
192,Botas de Cuero,Calzado,S,152,77144.15
193,Rompeviento,Camperas,XXXL,162,38905.2
194,Remera Oversize,Remeras,XS,70,12371.76
195,Remera Básica,Remeras,XXL,50,6237.99
196,Buzo Canguro,Buzos,M,108,19164.88
197,Remera Oversize,Remeras,L,174,9703.07
198,Buzo Frisa,Buzos,XS,46,24010.44
199,Puffer,Camperas,S,185,41531.69
200,Pantalón Jogger,Pantalones,XXL,40,27054.17
201,Pantalón Cargo,Pantalones,XS,104,18777.98
202,Puffer,Camperas,XL,112,46191.66
203,Riñonera,Accesorios,XS,189,9786.76
204,Jean Skinny,Pantalones,S,138,16180.33
205,Bufanda,Accesorios,L,153,12429.1
206,Musculosa,Remeras,XL,22,14713.76
207,Musculosa,Remeras,S,11,6760.59
208,Hoodie Oversize,Buzos,S,34,29447.1
209,Buzo Frisa,Buzos,XL,197,18806.6
210,Jean Mom,Pantalones,L,16,21873.68
211,Jean Skinny,Pantalones,XXL,43,20985.86
212,Gafas de Sol,Accesorios,M,49,9125.97
213,Remera Estampada,Remeras,XS,75,10343.74
214,Campera Inflable,Camperas,L,41,46865.14
215,Jean Mom,Pantalones,L,143,18464.34
216,Musculosa,Remeras,S,191,9894.36
217,Buzo Canguro,Buzos,XS,185,18496.75
218,Jean Skinny,Pantalones,XL,168,15256.73
219,Remera Oversize,Remeras,S,59,12882.53
220,Rompeviento,Camperas,XXXL,75,27546.43
221,Buzo Frisa,Buzos,S,115,24436.96
222,Zapatillas Urbanas,Calzado,XXXL,189,68188.61
223,Short Deportivo,Pantalones,L,112,20912.71
224,Jean Mom,Pantalones,L,1,20073.85
225,Bufanda,Accesorios,XL,98,13301.91
226,Cardigan Tejido,Buzos,XL,23,19064.96
227,Jean Mom,Pantalones,S,169,26959.05
228,Zapatillas Urbanas,Calzado,XS,140,40483.7
229,Botas de Cuero,Calzado,XL,57,36424.97
230,Gafas de Sol,Accesorios,XXL,150,6978.41
231,Hoodie Oversize,Buzos,M,179,20608.85
232,Remera Estampada,Remeras,XXXL,130,12825.41
233,Ojotas,Calzado,M,103,73235.89
234,Cinturón,Accesorios,L,95,8305.68
235,Short Deportivo,Pantalones,M,61,27791.93
236,Gorra,Accesorios,M,131,3763.62
237,Campera Jean,Camperas,XS,67,69752.69
238,Hoodie Oversize,Buzos,L,99,17240.69
239,Remera Estampada,Remeras,S,66,12659.24
240,Jean Mom,Pantalones,XXL,183,20748.51
241,Gorra,Accesorios,XS,158,14245.92
242,Remera Estampada,Remeras,M,156,6622.08
243,Bufanda,Accesorios,XL,10,3575.72
244,Zapatillas Running,Calzado,L,46,21507.73
245,Campera Jean,Camperas,L,119,54811.24
246,Rompeviento,Camperas,S,174,46851.44
247,Gafas de Sol,Accesorios,M,45,6588.35
248,Sweater de Lana,Buzos,M,161,22775.95
249,Ojotas,Calzado,XS,113,30099.32
250,Musculosa,Remeras,XXL,190,13961.02
251,Hoodie Oversize,Buzos,XXXL,151,23585.36
252,Puffer,Camperas,XXXL,85,43373.0
253,Gafas de Sol,Accesorios,L,122,9242.65
254,Hoodie Oversize,Buzos,XS,177,28459.65
255,Sweater de Lana,Buzos,XS,48,18179.61
256,Buzo Frisa,Buzos,L,17,34232.54
257,Zapatillas Urbanas,Calzado,S,11,51073.66
258,Jean Mom,Pantalones,L,44,21584.46
259,Top Deportivo,Remeras,XXXL,189,6352.07
260,Remera Básica,Remeras,XXL,80,7751.68
261,Sandalias,Calzado,XS,166,32281.04
262,Jean Mom,Pantalones,XL,15,13451.91
263,Top Deportivo,Remeras,S,148,10070.08
264,Riñonera,Accesorios,L,135,8124.92
265,Gafas de Sol,Accesorios,L,99,12916.85
266,Puffer,Camperas,XS,90,28981.46
267,Remera Básica,Remeras,L,133,11072.09
268,Bufanda,Accesorios,XL,198,4361.04
269,Jean Skinny,Pantalones,XXL,106,18923.9
270,Botas de Cuero,Calzado,XXL,70,40084.7
271,Cinturón,Accesorios,XXXL,71,5305.56
272,Musculosa,Remeras,XL,63,14939.39
273,Jean Mom,Pantalones,M,82,18689.42
274,Pantalón Jogger,Pantalones,L,146,18703.47
275,Rompeviento,Camperas,L,102,64349.23
276,Riñonera,Accesorios,XL,146,7283.11
277,Hoodie Oversize,Buzos,L,104,24972.03
278,Cinturón,Accesorios,XXXL,51,13955.67
279,Gorra,Accesorios,M,56,3311.72
280,Campera Jean,Camperas,M,122,42566.51
281,Bufanda,Accesorios,M,93,8064.63
282,Zapatillas Urbanas,Calzado,XS,132,45359.11
283,Gorra,Accesorios,L,136,10379.28
284,Campera de Cuero,Camperas,XXXL,12,64979.64
285,Ojotas,Calzado,S,192,41668.25
286,Cinturón,Accesorios,M,77,10313.78
287,Short Deportivo,Pantalones,XXL,56,21759.1
288,Puffer,Camperas,XXL,97,69495.32
289,Sweater de Lana,Buzos,XL,44,31048.85
290,Zapatillas Running,Calzado,XL,102,37834.67
291,Pantalón Jogger,Pantalones,L,115,15477.89
292,Jean Skinny,Pantalones,S,51,26786.8
293,Remera Oversize,Remeras,L,28,9634.83
294,Hoodie Oversize,Buzos,M,89,30422.12
295,Sweater de Lana,Buzos,L,84,29680.72
296,Rompeviento,Camperas,M,72,25306.09
297,Ojotas,Calzado,L,183,78035.99
298,Jean Mom,Pantalones,M,199,23602.57
299,Buzo Frisa,Buzos,S,31,30157.53
300,Botas de Cuero,Calzado,S,158,73791.6
301,Riñonera,Accesorios,XS,177,8708.91
302,Sandalias,Calzado,S,45,76038.19
303,Riñonera,Accesorios,L,92,13225.61
304,Riñonera,Accesorios,XXL,71,8442.29
305,Bufanda,Accesorios,XXL,42,6161.7
306,Riñonera,Accesorios,S,110,14473.21
307,Cinturón,Accesorios,XL,127,8124.94
308,Pantalón Jogger,Pantalones,S,167,28068.77
309,Hoodie Oversize,Buzos,XXXL,100,23698.57
310,Rompeviento,Camperas,XS,35,30123.62
311,Gafas de Sol,Accesorios,M,141,14477.0
312,Remera Oversize,Remeras,XXXL,116,7287.84
313,Campera Inflable,Camperas,XS,117,44276.47
314,Botas de Cuero,Calzado,XXXL,77,66360.24
315,Sweater de Lana,Buzos,XXL,60,26628.82
316,Puffer,Camperas,XL,78,45886.71
317,Remera Oversize,Remeras,XL,138,13725.96
318,Cardigan Tejido,Buzos,XXXL,10,23126.33
319,Remera Estampada,Remeras,XXL,69,11495.05
320,Buzo Canguro,Buzos,XL,149,16868.79
321,Pantalón Cargo,Pantalones,XXXL,17,22805.34
322,Campera Inflable,Camperas,L,98,69133.19
323,Botas de Cuero,Calzado,XS,62,62412.51
324,Puffer,Camperas,M,29,42457.34
325,Jean Mom,Pantalones,XXL,190,25038.6
326,Zapatillas Running,Calzado,XXL,80,36525.76
327,Jean Skinny,Pantalones,XS,72,15678.46
328,Musculosa,Remeras,XL,43,7991.68
329,Riñonera,Accesorios,XXXL,176,14684.32
330,Pantalón Cargo,Pantalones,L,187,21843.79
331,Buzo Canguro,Buzos,S,150,27607.81
332,Hoodie Oversize,Buzos,XS,177,15558.32
333,Remera Estampada,Remeras,M,96,8884.33
334,Bufanda,Accesorios,XXL,150,6309.45
335,Cardigan Tejido,Buzos,L,95,17844.66
336,Jean Mom,Pantalones,XXXL,62,21266.85
337,Cinturón,Accesorios,L,79,10140.95
338,Remera Básica,Remeras,XXL,154,8427.28
339,Ojotas,Calzado,M,44,40214.94
340,Zapatillas Urbanas,Calzado,XL,166,29215.31
341,Remera Oversize,Remeras,XS,7,8045.19
342,Remera Estampada,Remeras,XS,96,10489.09
343,Remera Básica,Remeras,L,33,7624.92
344,Ojotas,Calzado,M,93,37153.28
345,Zapatillas Urbanas,Calzado,L,182,28928.1
346,Pantalón Jogger,Pantalones,XL,118,21165.17
347,Riñonera,Accesorios,XS,91,4042.8
348,Pantalón Jogger,Pantalones,L,102,16750.77
349,Gorra,Accesorios,L,128,14027.78
350,Top Deportivo,Remeras,M,197,6705.08
351,Hoodie Oversize,Buzos,XXL,1,29763.64
352,Riñonera,Accesorios,XL,20,7991.67
353,Sweater de Lana,Buzos,S,65,28357.84
354,Campera Inflable,Camperas,L,32,49669.28
355,Remera Estampada,Remeras,S,101,13102.24
356,Zapatillas Urbanas,Calzado,XL,104,47701.54
357,Sandalias,Calzado,XS,57,40072.49
358,Campera Inflable,Camperas,XXXL,128,30828.74
359,Sandalias,Calzado,XXL,104,74123.44
360,Campera Jean,Camperas,S,187,29923.76
361,Campera de Cuero,Camperas,XL,16,33395.86
362,Jean Mom,Pantalones,M,91,27066.41
363,Cinturón,Accesorios,XXXL,8,9165.4
364,Campera de Cuero,Camperas,S,3,56835.7
365,Buzo Canguro,Buzos,M,75,20016.67
366,Campera Inflable,Camperas,S,176,62041.47
367,Jean Skinny,Pantalones,S,181,13353.71
368,Remera Básica,Remeras,XL,126,10881.58
369,Hoodie Oversize,Buzos,XXL,123,19384.71
370,Musculosa,Remeras,L,185,6757.41
371,Bufanda,Accesorios,XXL,115,8204.09
372,Puffer,Camperas,M,131,52955.6
373,Campera Inflable,Camperas,XXXL,175,52921.38
374,Zapatillas Running,Calzado,S,112,25128.09
375,Top Deportivo,Remeras,S,56,8729.37
376,Cardigan Tejido,Buzos,XL,10,27585.07
377,Jean Skinny,Pantalones,XXL,158,18364.18
378,Botas de Cuero,Calzado,S,19,39288.65
379,Ojotas,Calzado,M,113,31206.08
380,Pantalón Cargo,Pantalones,M,16,21648.88
381,Campera de Cuero,Camperas,XL,159,60611.86
382,Zapatillas Urbanas,Calzado,XL,106,25613.26
383,Jean Mom,Pantalones,M,99,15041.05
384,Sweater de Lana,Buzos,XL,67,28313.67
385,Campera de Cuero,Camperas,S,191,44390.1
386,Bufanda,Accesorios,XL,159,6677.62
387,Buzo Frisa,Buzos,XXL,167,29962.75
388,Pantalón Cargo,Pantalones,M,40,29157.41
389,Remera Estampada,Remeras,XS,34,14754.69
390,Gafas de Sol,Accesorios,XL,63,12909.59
391,Rompeviento,Camperas,XL,13,41830.94
392,Buzo Canguro,Buzos,M,40,28618.7
393,Pantalón Jogger,Pantalones,XXL,131,12601.62
394,Musculosa,Remeras,M,87,7600.23
395,Botas de Cuero,Calzado,XXXL,127,68524.38
396,Gafas de Sol,Accesorios,S,179,6003.34
397,Remera Oversize,Remeras,S,45,12672.54
398,Bufanda,Accesorios,XXXL,51,14104.16
399,Pantalón Cargo,Pantalones,XXXL,171,29003.19
400,Bufanda,Accesorios,XS,60,4171.45
401,Gorra,Accesorios,XXXL,15,8077.92
402,Hoodie Oversize,Buzos,XXXL,70,31044.17
403,Zapatillas Urbanas,Calzado,XL,48,68881.01
404,Pantalón Jogger,Pantalones,L,4,29195.99
405,Remera Estampada,Remeras,XXXL,144,12293.14
406,Pantalón Cargo,Pantalones,XL,156,15755.39
407,Jean Mom,Pantalones,M,46,15871.17
408,Campera Jean,Camperas,XXXL,14,26986.38
409,Campera Jean,Camperas,S,88,35011.45
410,Gafas de Sol,Accesorios,L,80,8893.35
411,Sandalias,Calzado,M,44,28096.11
412,Zapatillas Running,Calzado,XXXL,126,56051.89
413,Botas de Cuero,Calzado,L,88,35512.95
414,Buzo Frisa,Buzos,XL,8,32139.3
415,Pantalón Jogger,Pantalones,S,17,20537.88
416,Gafas de Sol,Accesorios,XXXL,105,8653.27
417,Campera Jean,Camperas,XXXL,109,60262.2
418,Sweater de Lana,Buzos,M,104,19459.18
419,Cinturón,Accesorios,XXL,105,10343.67
420,Remera Estampada,Remeras,S,105,7647.71
421,Gorra,Accesorios,XL,152,14558.16
422,Zapatillas Running,Calzado,XXL,147,31070.4
423,Remera Estampada,Remeras,XS,81,14203.09
424,Ojotas,Calzado,XS,158,78761.91
425,Campera Jean,Camperas,S,43,62228.49
426,Campera de Cuero,Camperas,XXL,133,33293.95
427,Puffer,Camperas,S,61,66233.36
428,Campera Inflable,Camperas,L,178,68797.37
429,Hoodie Oversize,Buzos,XS,149,32185.3
430,Ojotas,Calzado,XL,23,40879.66
431,Remera Básica,Remeras,M,36,10388.01
432,Puffer,Camperas,XS,80,46133.61
433,Zapatillas Running,Calzado,XS,90,77497.46
434,Riñonera,Accesorios,XL,53,7412.38
435,Hoodie Oversize,Buzos,M,40,34356.11
436,Short Deportivo,Pantalones,XXXL,110,26983.01
437,Pantalón Cargo,Pantalones,XXL,103,22325.21
438,Top Deportivo,Remeras,XXXL,41,11191.44
439,Campera de Cuero,Camperas,S,70,62490.89
440,Remera Oversize,Remeras,XXL,165,10019.77
441,Remera Oversize,Remeras,S,185,8439.99
442,Bufanda,Accesorios,M,70,3591.95
443,Campera Jean,Camperas,M,182,65403.69
444,Pantalón Cargo,Pantalones,XL,94,26470.09
445,Sandalias,Calzado,XL,63,55176.08
446,Campera Inflable,Camperas,XXL,148,30104.3
447,Buzo Frisa,Buzos,XS,183,23122.18
448,Puffer,Camperas,S,114,59255.71
449,Campera de Cuero,Camperas,XS,190,50410.79
450,Bufanda,Accesorios,S,11,14609.41
451,Ojotas,Calzado,L,87,55838.6
452,Botas de Cuero,Calzado,XS,159,48405.79
453,Short Deportivo,Pantalones,XXL,189,18491.09
454,Ojotas,Calzado,XXXL,110,28586.57
455,Remera Básica,Remeras,M,109,12725.88
456,Pantalón Cargo,Pantalones,L,144,23695.81
457,Campera de Cuero,Camperas,XXL,175,66443.86
458,Buzo Canguro,Buzos,XL,39,17643.02
459,Jean Mom,Pantalones,L,183,22292.62
460,Jean Skinny,Pantalones,XL,140,25680.89
461,Sandalias,Calzado,S,14,32428.04
462,Gafas de Sol,Accesorios,XS,54,11599.36
463,Cardigan Tejido,Buzos,XXL,39,30434.87
464,Hoodie Oversize,Buzos,M,96,31159.49
465,Remera Oversize,Remeras,XS,161,13227.48
466,Campera Inflable,Camperas,XXXL,156,44814.42
467,Pantalón Cargo,Pantalones,XS,137,15812.25
468,Zapatillas Urbanas,Calzado,M,108,70646.52
469,Pantalón Jogger,Pantalones,L,179,12571.56
470,Hoodie Oversize,Buzos,L,101,16223.65
471,Ojotas,Calzado,M,57,47197.43
472,Rompeviento,Camperas,XXXL,145,44655.6
473,Buzo Frisa,Buzos,XL,20,22671.28
474,Rompeviento,Camperas,XXXL,33,56045.87
475,Pantalón Jogger,Pantalones,XL,43,25459.79
476,Campera Inflable,Camperas,XXL,86,45890.2
477,Gafas de Sol,Accesorios,L,27,3429.87
478,Gorra,Accesorios,XXXL,120,9942.62
479,Cinturón,Accesorios,L,96,7435.49
480,Remera Básica,Remeras,XL,155,8840.03
481,Remera Básica,Remeras,S,103,10216.57
482,Cardigan Tejido,Buzos,L,138,25674.13
483,Riñonera,Accesorios,L,86,12611.52
484,Hoodie Oversize,Buzos,S,144,20837.76
485,Campera de Cuero,Camperas,S,171,36364.42
486,Bufanda,Accesorios,M,143,10194.84
487,Bufanda,Accesorios,M,177,8380.82
488,Sandalias,Calzado,XXL,138,36799.52
489,Pantalón Cargo,Pantalones,M,127,24073.24
490,Short Deportivo,Pantalones,XXXL,23,28176.5
491,Jean Mom,Pantalones,S,82,12895.34
492,Campera Inflable,Camperas,L,126,38591.79
493,Cinturón,Accesorios,XXL,93,14711.55
494,Pantalón Cargo,Pantalones,XXXL,4,24134.03
495,Puffer,Camperas,L,161,49423.69
496,Sandalias,Calzado,L,105,41015.73
497,Top Deportivo,Remeras,XL,85,13164.38
498,Remera Oversize,Remeras,XS,69,10011.75
499,Gorra,Accesorios,XXXL,116,3477.39
500,Riñonera,Accesorios,S,77,13996.88
501,Remera Oversize,Remeras,S,69,11052.2
502,Botas de Cuero,Calzado,XS,120,21215.34
503,Hoodie Oversize,Buzos,XS,15,18572.11
504,Buzo Frisa,Buzos,XXXL,38,33139.07
505,Cardigan Tejido,Buzos,XL,143,21398.2
506,Campera de Cuero,Camperas,M,85,37691.46
507,Cardigan Tejido,Buzos,L,155,26303.51
508,Rompeviento,Camperas,XL,180,52732.75
509,Puffer,Camperas,M,170,44492.15
510,Rompeviento,Camperas,M,46,38738.33
511,Sandalias,Calzado,XXXL,37,43780.13
512,Buzo Frisa,Buzos,XXXL,160,27004.52
513,Sandalias,Calzado,XS,16,56302.71
514,Remera Oversize,Remeras,L,170,6860.51
515,Sweater de Lana,Buzos,S,66,25405.65
516,Cinturón,Accesorios,L,156,10827.51
517,Sandalias,Calzado,XXXL,48,44409.84
518,Jean Mom,Pantalones,XXXL,180,14982.54
519,Remera Oversize,Remeras,XL,89,11991.97
520,Pantalón Jogger,Pantalones,XL,86,27580.71
521,Ojotas,Calzado,S,180,31690.99
522,Pantalón Cargo,Pantalones,L,199,23497.04
523,Pantalón Cargo,Pantalones,XS,89,26512.29
524,Cinturón,Accesorios,XXXL,27,7832.42
525,Hoodie Oversize,Buzos,XXL,159,23557.55
526,Remera Oversize,Remeras,XL,187,14057.42
527,Jean Skinny,Pantalones,L,63,18977.26
528,Bufanda,Accesorios,S,152,8482.8
529,Jean Mom,Pantalones,XL,198,23501.79
530,Jean Mom,Pantalones,XXXL,104,14206.29
531,Zapatillas Urbanas,Calzado,XXXL,61,40405.05
532,Jean Mom,Pantalones,L,137,16225.7
533,Campera Inflable,Camperas,XL,158,56043.25
534,Ojotas,Calzado,S,76,50420.47
535,Botas de Cuero,Calzado,XL,163,60064.68
536,Hoodie Oversize,Buzos,XS,66,32605.4
537,Cinturón,Accesorios,XXXL,16,5924.83
538,Puffer,Camperas,XXL,78,39689.3
539,Jean Mom,Pantalones,XXL,118,26849.2
540,Musculosa,Remeras,XXXL,39,6167.31
541,Zapatillas Urbanas,Calzado,XS,8,35145.24
542,Puffer,Camperas,XL,6,35916.03
543,Remera Oversize,Remeras,XS,198,12535.64
544,Remera Oversize,Remeras,XXL,77,10062.03
545,Gafas de Sol,Accesorios,S,11,10959.64
546,Musculosa,Remeras,S,55,12665.25
547,Riñonera,Accesorios,XXXL,68,5428.78
548,Remera Estampada,Remeras,M,65,11732.68
549,Ojotas,Calzado,L,154,26853.72
550,Remera Oversize,Remeras,L,162,6573.61
551,Remera Básica,Remeras,L,59,12542.18
552,Jean Mom,Pantalones,XXL,53,29408.05
